"bootstrap","Ya0g0","Ya0g1","Ya1g0","Ya1g1","pNDE","tNDE","pNDE_m","tNDE_m","pNIE","tNIE","pNIE_m","tNIE_m","TE","TE_m"
109,0.743336666666667,0.751826666666667,0.823623333333333,0.834386666666667,0.0802866666666667,0.08256,1.10805670532937,1.1098473889777,0.00848999999999999,0.0107633333333333,1.01146008884011,1.0130873739631,0.09105,1.1225465022423
110,0.737306666666667,0.74126,0.816583333333333,0.825913333333333,0.0792766666666667,0.0846533333333333,1.10757319209072,1.11424575075677,0.00395333333333333,0.00933000000000001,1.00538730213078,1.01145128731285,0.0886066666666667,1.12023230838896
111,0.72863,0.732303333333333,0.819786666666667,0.82553,0.0911566666666667,0.0932266666666667,1.12513558153946,1.12733313976193,0.00367333333333335,0.00574333333333334,1.00506338696882,1.00703016692246,0.0969,1.13300506208292
112,0.74762,0.748756666666667,0.817416666666667,0.824126666666667,0.0697966666666667,0.07537,1.09340933137683,1.10068560960164,0.00113666666666666,0.00671,1.00157447814626,1.00823182698728,0.0765066666666667,1.10239379422934
113,0.717376666666667,0.723823333333333,0.81558,0.824473333333333,0.0982033333333333,0.10065,1.13692179021309,1.1390963254216,0.00644666666666667,0.00889333333333335,1.00901956015968,1.01091895352642,0.107096666666667,1.14931159177505
114,0.733943333333333,0.741863333333333,0.812376666666667,0.822263333333333,0.0784333333333333,0.0804,1.10690687866197,1.10841538386031,0.00791999999999999,0.00988666666666666,1.0108390226028,1.01218856304216,0.08832,1.12038142335422
115,0.718363333333333,0.725823333333333,0.820246666666667,0.824636666666667,0.101883333333333,0.0988133333333333,1.14185699767225,1.13616882461141,0.00746,0.00439,1.0104169914115,1.00537147153533,0.106273333333333,1.1479667701956
116,0.717356666666667,0.726526666666667,0.812436666666667,0.82477,0.09508,0.0982433333333333,1.13261021923924,1.13526931953291,0.00916999999999999,0.0123333333333333,1.01284180479607,1.01519730603527,0.107413333333333,1.14977824101308
117,0.71682,0.725936666666667,0.81177,0.823623333333333,0.09495,0.0976866666666667,1.13250456513736,1.13461143934303,0.00911666666666666,0.0118533333333333,1.01275602521967,1.01462768031031,0.106803333333333,1.14903996195987
118,0.7468,0.75157,0.818953333333333,0.825343333333333,0.0721533333333333,0.0737733333333333,1.09664738665742,1.09819515898828,0.00477,0.00639000000000001,1.00641541259096,1.00782599532663,0.0785433333333333,1.10519804805523
119,0.728093333333333,0.732743333333333,0.81932,0.83097,0.0912266666666667,0.0982266666666667,1.12533734375278,1.13406936157031,0.00465,0.01165,1.00641824906876,1.0142325960321,0.102876666666667,1.1413304950791
